loss	accuracy	val_loss	val_accuracy
2.7100	0.3098	1.7221	0.5385
1.3381	0.4103	1.2633	0.6213
0.9396	0.5993	1.1040	0.6667
0.6989	0.6557	1.0250	0.6743
0.5288	0.6923	0.9734	0.7034
0.4071	0.7183	0.9576	0.7107
0.3176	0.7316	0.9553	0.7201
0.2581	0.7929	0.9756	0.7225
0.2198	0.8078	0.9791	0.7247
0.1948	0.8332	1.0036	0.7325
0.1702	0.8510	1.0227	0.7461
0.1565	0.8617	1.0310	0.7492
0.1486	0.8952	1.0638	0.7510
0.1411	0.9076	1.0733	0.7615
0.1322	0.9059 	1.0860	0.7512
0.1354	0.9051	1.1316	0.7624
0.1284	0.9061	1.1253	0.7514
0.1258	0.9068	1.1515	0.7550
0.1268	0.9069	1.1299	0.7534
0.1240	0.9074	1.1639	0.7521
